title,price,rating,availability,timestamp
A Light in the Attic,51.77,3,In stock,2025-05-26 07:47:47.126044
Tipping the Velvet,53.74,1,In stock,2025-05-26 07:47:47.126229
Soumission,50.1,1,In stock,2025-05-26 07:47:47.126367
Sharp Objects,47.82,4,In stock,2025-05-26 07:47:47.126498
Sapiens: A Brief History of Humankind,54.23,5,In stock,2025-05-26 07:47:47.126636
The Requiem Red,22.65,1,In stock,2025-05-26 07:47:47.126784
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,2025-05-26 07:47:47.126924
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,2025-05-26 07:47:47.127080
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,2025-05-26 07:47:47.127211
The Black Maria,52.15,1,In stock,2025-05-26 07:47:47.127344
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,2025-05-26 07:47:47.127479
Shakespeare's Sonnets,20.66,4,In stock,2025-05-26 07:47:47.127611
Set Me Free,17.46,5,In stock,2025-05-26 07:47:47.127747
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,2025-05-26 07:47:47.127896
Rip it Up and Start Again,35.02,5,In stock,2025-05-26 07:47:47.128035
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,2025-05-26 07:47:47.128164
Olio,23.88,1,In stock,2025-05-26 07:47:47.128296
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,2025-05-26 07:47:47.128424
Libertarianism for Beginners,51.33,2,In stock,2025-05-26 07:47:47.128549
It's Only the Himalayas,45.17,2,In stock,2025-05-26 07:47:47.128677
In Her Wake,12.84,1,In stock,2025-05-26 07:47:49.684615
How Music Works,37.32,2,In stock,2025-05-26 07:47:49.684832
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,2025-05-26 07:47:49.684989
Chase Me (Paris Nights #2),25.27,5,In stock,2025-05-26 07:47:49.685123
Black Dust,34.53,5,In stock,2025-05-26 07:47:49.685268
Birdsong: A Story in Pictures,54.64,3,In stock,2025-05-26 07:47:49.685411
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,2025-05-26 07:47:49.685546
Aladdin and His Wonderful Lamp,53.13,3,In stock,2025-05-26 07:47:49.685677
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,In stock,2025-05-26 07:47:49.685824
Wall and Piece,44.18,4,In stock,2025-05-26 07:47:49.685975
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,2025-05-26 07:47:49.686117
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,2025-05-26 07:47:49.686263
The Elephant Tree,23.82,5,In stock,2025-05-26 07:47:49.686395
The Bear and the Piano,36.89,1,In stock,2025-05-26 07:47:49.686526
Sophie's World,15.94,5,In stock,2025-05-26 07:47:49.686656
Penny Maybe,33.29,3,In stock,2025-05-26 07:47:49.686801
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,2025-05-26 07:47:49.686933
"In a Dark, Dark Wood",19.63,1,In stock,2025-05-26 07:47:49.687065
Behind Closed Doors,52.22,4,In stock,2025-05-26 07:47:49.687201
You can't bury them all: Poems,33.63,2,In stock,2025-05-26 07:47:49.687336
